Age,Annual Income,Credit Score,Experience,Loan Amount,Loan Duration,Number of Dependents,Monthly Debt Payment,Creditcard Utilizatio Rate,Number of Open Credit Lines,Number of Credit Inquries,Debt to Income Ratio,Bankruptcy History,Previous Loan Defaults,Payment History,Length of Credit History,Savings Account Balance,Checking Account Balance,Total Assets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved
44,70881,597,23,34590,48,0,324,0.304031873,1,1,0.117077159,0,0,22,19,2050,1136,3628,21804,5906.75,0.787064062,8,1188,0.214166498,1078.870189,0.237502889,0
62,105240,656,39,13937,108,3,391,0.248974565,6,2,0.198300231,1,0,32,26,1960,2516,62442,28628,8770,0.964705144,4,33814,0.229707857,306.3041271,0.079510163,0
42,63709,517,18,22221,48,0,623,0.28385889,2,3,0.473213044,0,0,41,18,3930,136,80888,12851,5309.083333,0.620807382,3,68037,0.265423641,756.0285458,0.259748898,0
43,31713,487,18,38865,48,1,314,0.249955683,2,3,0.601057214,0,0,20,6,395,231,49718,43113,2642.75,0.978651736,3,6605,0.286430461,1368.867256,0.636786399,0
39,29900,536,17,23396,72,3,589,0.103820671,3,0,0.185815459,0,0,28,4,470,2353,23801,36682,2491.666667,0.936513598,6,2585,0.299452038,703.0228597,0.518537603,0
39,55454,565,16,35551,36,3,1206,0.240673896,5,0,0.52638809,0,0,22,13,4159,1098,33268,27329,4621.166667,0.973360913,4,5939,0.254148219,1421.31293,0.568538882,0
40,40722,558,18,31637,120,2,269,0.172711393,5,2,0.143886778,0,0,22,9,9140,398,141270,20184,3393.5,0.801991762,4,121086,0.302798547,840.5550283,0.326964794,0
69,76571,680,49,34173,48,1,407,0.158676837,7,2,0.2166189,0,0,20,3,2220,3117,78008,5915,6380.916667,0.959075228,7,72093,0.191127596,1023.811209,0.224232862,0
37,22901,525,14,18493,48,2,288,0.085922233,1,1,0.264111956,0,0,25,6,3120,3491,99630,10098,1908.416667,0.924738897,3,89532,0.253403309,616.6902883,0.474052813,0
43,49421,609,21,17161,72,3,438,0.362115605,3,4,0.258787054,0,0,21,8,10050,1546,17627,40586,4118.416667,0.853843559,8,9540,0.258068076,470.8010354,0.220667579,0
39,43507,611,16,31845,48,3,544,0.374989953,4,2,0.084789922,1,0,32,15,1192,5407,30751,34764,3625.583333,0.728615291,7,6480,0.265614,1083.810066,0.448978803,0
25,41402,572,4,25900,36,4,419,0.111313557,2,2,0.092334724,0,0,29,21,9920,6772,36312,37402,3450.166667,0.729440679,6,4623,0.237735022,1013.053306,0.415067863,0
53,37405,626,30,15770,48,0,442,0.227953806,3,0,0.299644558,0,1,22,19,14266,762,15028,29045,3117.083333,0.85386526,3,4530,0.206105431,485.031636,0.297403546,0
49,48399,564,29,19629,48,0,346,0.284553044,6,1,0.21451177,0,0,18,19,993,1120,91813,16583,4033.25,0.881655038,1,75230,0.264095006,666.3672619,0.251005334,0
49,44775,574,28,20270,48,4,228,0.153746573,3,0,0.1961324,0,0,28,7,3070,1348,31257,64801,3731.25,0.84456749,5,8511,0.219604327,638.1928593,0.23214549,0
56,15131,634,30,25599,48,2,351,0.242600368,1,1,0.381070565,0,1,25,5,2458,2915,73848,15145,1260.916667,0.778020136,7,58703,0.228322593,818.1347931,0.927210199,0
47,50345,602,22,18805,48,1,441,0.468299317,2,1,0.087930541,0,0,24,1,13605,785,50714,3537,4195.416667,0.57948893,3,47177,0.232486555,605.2927056,0.249389462,0
28,34588,621,0,18962,48,0,444,0.215344838,4,0,0.281664771,0,0,36,1,8955,256,89846,11153,2882.333333,0.664763481,3,78693,0.240947552,619.1897311,0.368864253,0
33,15000,523,8,13879,60,2,248,0.258464995,2,2,0.366896047,0,0,29,13,12973,290,27247,5651,1250,0.778598386,2,21596,0.269063475,423.0232759,0.536818621,0
40,42717,585,14,41561,24,3,326,0.380083572,2,1,0.252630804,0,0,21,24,489,759,48731,10782,3559.75,0.658450452,3,37949,0.214000198,2143.813798,0.693816644,0
45,22121,602,23,18805,60,3,250,0.221027442,0,2,0.064124248,0,0,32,12,667,2669,63386,7364,1843.416667,0.98674491,2,56022,0.237957438,538.7544132,0.42787636,0
28,37558,620,5,18686,60,0,278,0.122147059,1,1,0.219745034,0,0,24,24,4575,1163,9316,17652,3129.833333,0.853223748,10,2660,0.227713505,524.3153018,0.256344417,0
30,33101,539,7,29824,60,0,358,0.18478734,3,0,0.163751052,0,0,17,19,2548,1004,220116,8784,2758.416667,0.911383197,0,211332,0.238971475,856.1962597,0.440178699,0
49,38596,499,27,13078,36,2,292,0.14825455,1,2,0.387717694,0,1,24,23,1121,1118,40099,121827,3216.333333,0.803058411,6,4304,0.255899355,524.0681506,0.253726236,0
25,139954,439,3,40858,48,0,293,0.172889807,1,0,0.448911039,0,0,28,22,427,1429,51633,5937,11662.83333,0.588756942,2,45696,0.312445458,1500.854523,0.153809497,0
42,53444,521,19,16462,60,0,730,0.368490339,4,1,0.237526015,0,0,24,12,4608,638,44150,32195,4453.666667,0.580948446,7,11955,0.288080282,520.6123709,0.280805113,0
20,31270,581,1,6624,12,1,151,0.464867466,5,2,0.092079081,0,1,27,20,2857,478,78348,31210,2605.833333,0.780227962,6,47138,0.173323616,605.1855616,0.290189534,0
42,46717,520,21,20915,60,4,616,0.392678059,4,2,0.441898169,0,0,25,20,1085,2885,8920,11975,3893.083333,0.988907846,1,3094,0.245702449,608.6245936,0.314564187,0
43,56613,564,19,25148,36,0,340,0.513658837,5,1,0.435346558,0,0,20,3,4138,1730,226679,47469,4717.75,0.500503736,8,179210,0.241327041,988.3808663,0.281570848,0
49,86882,612,24,51374,72,1,380,0.11659762,1,2,0.225287113,0,0,35,19,10374,565,45230,263937,7240.166667,0.54708558,8,4755,0.277772588,1472.689201,0.255890408,0
25,69876,598,5,17992,96,1,545,0.011470739,3,1,0.258154691,0,0,31,15,915,506,19626,7056,5823,0.804221282,5,12570,0.272305298,461.8554917,0.172910096,0
24,32582,513,4,26598,60,0,231,0.462592067,5,1,0.146652255,0,0,24,21,288,1263,32463,10978,2715.166667,0.851906681,4,21485,0.272707952,816.4890482,0.385791805,0
46,101562,612,23,30836,84,3,323,0.605553686,6,0,0.189514885,0,1,26,14,7528,378,62262,36152,8463.5,0.773425392,5,26110,0.236658705,754.401568,0.127299766,0
43,24611,548,25,21110,24,0,489,0.577459035,0,1,0.222317809,0,0,30,18,10586,1352,190056,20979,2050.916667,0.756585723,5,169077,0.247342383,1123.859894,0.786409278,0
43,22390,594,21,17603,120,1,389,0.15814493,3,5,0.399641944,0,0,19,23,612,293,24284,46780,1865.833333,0.918248131,3,8633,0.292970668,454.9331165,0.45230895,0
44,47430,605,25,32684,60,5,377,0.635142123,2,0,0.191575883,0,0,31,17,673,505,57941,32526,3952.5,0.716241805,5,25415,0.232355477,925.8059034,0.329615662,0
31,57105,500,6,24760,36,3,168,0.122225235,2,1,0.328967583,0,0,15,20,2593,129,12750,12673,4758.75,0.71309215,6,1632,0.268101331,1008.31193,0.247189268,0
42,28751,536,21,30150,60,0,343,0.411098167,1,3,0.338673753,0,0,19,5,8298,2785,33961,20305,2395.916667,0.850026707,7,13656,0.258890882,900.7265158,0.519102577,0
43,43567,547,17,17390,24,2,308,0.143643784,3,0,0.265708642,0,0,28,10,12906,4746,131041,11319,3630.583333,0.765327756,3,119722,0.238016836,917.707995,0.337606352,0
31,20113,575,6,27214,36,1,347,0.216274834,2,1,0.452728607,0,0,20,2,4698,1891,99134,46478,1676.083333,0.805018167,1,52656,0.226757609,1048.852878,0.832806371,0
62,52633,682,41,13197,120,5,347,0.22060986,0,2,0.17797028,1,0,22,27,4853,730,51962,68554,4386.083333,0.732344837,9,6415,0.224554753,276.8821426,0.142241288,0
25,34276,574,3,5163,96,3,365,0.306851243,3,0,0.198152855,0,0,27,26,3141,42,38198,5950,2856.333333,0.643277815,6,32248,0.251665486,125.3743364,0.17167966,0
47,25819,587,25,12824,36,0,103,0.625111014,2,2,0.201914092,0,0,30,5,1622,1914,63582,13848,2151.583333,0.731165608,6,49734,0.182182232,465.0233902,0.264002505,0
49,30032,594,28,5789,24,0,148,0.310708395,3,4,0.604385664,0,0,32,1,1632,524,87958,20361,2502.666667,0.916058479,7,67597,0.19514352,293.2641924,0.176317605,0
30,58238,628,7,15647,48,1,770,0.329525883,3,1,0.177226417,1,0,31,5,8060,2519,52153,9039,4853.166667,0.652000275,4,43114,0.196808625,473.487404,0.256221863,0
44,22237,609,23,33644,60,1,816,0.083470403,3,0,0.471472544,0,0,28,21,1967,2124,64119,23197,1853.083333,0.747585216,3,40922,0.226311264,941.3235675,0.948324091,0
49,74085,653,27,36208,12,2,375,0.261044715,3,0,0.56356516,0,0,32,28,2043,15912,70652,75471,6173.75,0.840751317,6,7553,0.171099938,3304.231999,0.595947682,0
62,33370,633,41,18943,24,2,545,0.52164351,5,0,0.308701359,0,0,24,9,966,1022,92153,124204,2780.833333,0.836358909,5,10973,0.18541125,950.6725135,0.537850469,0
30,25658,583,7,6423,36,3,374,0.189453555,1,1,0.065644668,0,0,20,6,2411,480,73838,16061,2138.166667,0.628161982,5,57777,0.197495976,237.8829964,0.286171797,0
29,75095,590,6,11657,120,1,182,0.445935977,3,0,0.582569969,0,1,15,9,1570,510,61242,19771,6257.916667,0.895877957,7,41471,0.3259884,329.8993647,0.081800285,0
30,50657,591,4,20536,48,2,638,0.307686226,7,2,0.061151466,0,0,27,14,20114,475,124093,16677,4221.416667,0.696183348,11,107416,0.195913608,620.4555409,0.298112136,0
39,48707,582,17,9741,36,0,558,0.052235724,1,0,0.251478066,0,0,30,17,2817,337,118511,49436,4058.916667,0.815182331,13,69075,0.2444892,384.4670168,0.23219669,0
43,48280,581,20,40424,36,4,340,0.245617093,0,1,0.236268129,0,0,28,12,3207,4229,102225,18198,4023.333333,0.721181988,2,84027,0.190317237,1482.431411,0.452965554,0
57,55440,614,35,31937,12,2,497,0.14720382,3,2,0.32860438,0,0,25,14,958,1312,32453,11335,4620,0.919605926,4,21118,0.185523327,2936.385522,0.743157039,0
72,115677,511,51,27962,24,1,364,0.106716336,6,0,0.482772273,0,0,26,6,1314,3522,89023,36001,9639.75,0.621282686,5,53022,0.281752414,1537.290226,0.197234392,0
29,51989,517,5,26850,72,3,351,0.169492133,5,0,0.486149061,0,0,22,3,1462,391,54547,10095,4332.416667,0.837484158,6,44452,0.308280968,822.1477906,0.270783694,0
27,28941,612,3,15007,60,0,112,0.126320773,1,1,0.528454795,0,0,23,8,1934,2041,133058,88914,2411.75,0.720013119,6,44144,0.188136857,387.7529909,0.207215918,0
45,84230,579,21,61376,72,0,565,0.314007158,3,0,0.093365907,0,1,34,7,922,542,29842,14843,7019.166667,0.894826038,3,14999,0.293986417,1822.717368,0.34017106,0
39,47910,515,15,25068,24,3,447,0.119513307,4,0,0.021372031,0,0,17,10,3131,2447,68899,11745,3992.5,0.830638545,2,57154,0.239197996,1324.369438,0.443674249,0
29,37709,557,8,27440,60,1,435,0.476069673,5,1,0.462977458,0,1,25,9,1785,543,9716,16781,3142.416667,0.739760274,5,4672,0.304728,895.7625781,0.423483809,0
21,73625,540,1,12927,24,0,182,0.11674168,1,1,0.192876458,1,0,21,8,1176,1252,159098,20357,6135.416667,0.922687725,7,138741,0.20860742,663.3784316,0.137786637,0
34,19757,592,12,17292,120,4,385,0.380518875,1,2,0.181078529,0,0,28,9,3053,1330,44477,106504,1646.416667,0.850136404,5,2757,0.254743575,399.1784068,0.476294016,0
42,54202,553,20,12176,60,0,292,0.176307453,8,1,0.0518712,1,0,22,9,4326,727,39483,98490,4516.833333,0.84938805,8,4212,0.239007979,349.5780008,0.142041548,0
25,36184,620,6,38807,48,3,210,0.730022275,5,1,0.227832641,0,0,38,9,2111,611,68351,27576,3015.333333,0.787161892,5,40775,0.195525082,1171.678453,0.458217484,0
29,55172,606,6,40220,36,0,317,0.513680234,4,6,0.576116699,0,0,31,9,14454,1521,82416,8200,4597.666667,0.855336708,4,74216,0.223854822,1544.05236,0.404781924,0
41,29020,583,16,16570,60,2,158,0.227759006,2,1,0.173766477,0,0,23,4,713,862,22214,10612,2418.333333,0.938497055,5,11602,0.231909137,468.935416,0.259242763,0
40,19990,564,22,11236,24,2,511,0.428427773,2,1,0.26027699,0,0,28,15,1477,5786,100659,7602,1665.833333,0.885167782,4,93057,0.191758952,567.351904,0.64733481,0
44,21725,630,22,38766,48,0,206,0.190232539,6,1,0.427326576,0,0,10,13,2332,494,90534,37492,1810.416667,0.843844102,8,53042,0.239370718,1262.494508,0.811136207,0
46,49098,472,24,31990,72,3,352,0.292985256,2,1,0.126462887,0,1,27,24,11754,2781,22172,20084,4091.5,0.847108296,1,2088,0.33258932,1030.582079,0.337915698,0
52,91077,550,27,37597,36,4,917,0.10933195,1,2,0.115573778,0,0,22,4,3363,431,17299,34929,7589.75,0.895732847,6,5342,0.291777355,1579.166587,0.328886536,0
23,17270,593,0,28352,36,2,858,0.365284076,5,2,0.244350311,0,0,24,29,24249,1912,38825,12998,1439.166667,0.38160375,3,25827,0.208157691,1065.483539,1.33652591,0
46,44523,613,23,12648,96,3,90,0.153657113,2,0,0.422808686,0,0,30,28,2266,1008,25164,36282,3710.25,0.780107139,4,6932,0.255169233,310.0847436,0.107832287,0
46,40998,576,26,29172,48,1,463,0.126345617,3,2,0.711083713,0,0,23,18,2493,1858,16901,30888,3416.5,0.497817252,5,7970,0.245967103,960.7096342,0.41671583,0
